date,storage,outflow,elevation
2014-05-01,13864.73,399.653,333.573
2014-05-02,13839.815,529.571,333.503
2014-05-03,13811.669,513.977,333.424
2014-05-04,13796.531,421.696,333.381
2014-05-05,13771.662,500.359,333.311
2014-05-06,13747.914,443.453,333.244
2014-05-07,13736.044,411.701,333.21
2014-05-08,13711.23,468.605,333.14
2014-05-09,13702.616,375.124,333.116
2014-05-10,13688.617,425.724,333.076
2014-05-11,13674.618,301.804,333.037
2014-05-12,13656.318,467.379,332.985
2014-05-13,13626.222,513.78,332.9
2014-05-14,13595.074,623.423,332.811
2014-05-15,13557.531,592.353,332.704
2014-05-16,13521.126,659.824,332.601
2014-05-17,13499.718,529.856,332.54
2014-05-18,13480.484,389.175,332.485
2014-05-19,13461.252,432.776,332.43
2014-05-20,13437.76,452.073,332.363
2014-05-21,13404.7,646.605,332.269
2014-05-22,13359.982,712.846,332.141
2014-05-23,13331.268,558.693,332.058
2014-05-24,13316.4,419.727,332.016
2014-05-25,13289.849,485.997,331.939
2014-05-26,13266.524,471.95,331.872
2014-05-27,13248.508,414.729,331.821
2014-05-28,13218.862,549.042,331.735
2014-05-29,13182.904,635.73,331.632
2014-05-30,13142.794,688.95,331.516
2014-05-31,13122.749,461.523,331.458
2014-06-01,13108.002,396.37,331.415
2014-06-02,13087.988,466.439,331.357
2014-06-03,13061.679,464.497,331.281
2014-06-04,13039.605,476.434,331.217
2014-06-05,13024.888,486.965,331.174
2014-06-06,13010.196,456.501,331.132
2014-06-07,13004.952,337.75,331.116
2014-06-08,13004.952,376.3,331.116
2014-06-09,12992.364,366.618,331.08
2014-06-10,12976.63,409.534,331.034
2014-06-11,12950.442,514.435,330.958
2014-06-12,12923.22,557.206,330.879
2014-06-13,12897.093,539.532,330.802
2014-06-14,12889.781,423.232,330.781
2014-06-15,12870.98,469.837,330.726
2014-06-16,12850.117,425.866,330.665
2014-06-17,12840.735,427.718,330.638
2014-06-18,12826.139,382.208,330.595
2014-06-19,12815.714,457.044,330.565
2014-06-20,12804.263,452.388,330.531
2014-06-21,12793.86,391.37,330.501
2014-06-22,12790.739,322.788,330.492
2014-06-23,12776.175,445.196,330.449
2014-06-24,12755.38,465.78,330.388
2014-06-25,12721.122,646.318,330.287
2014-06-26,12686.907,658.512,330.187
2014-06-27,12663.076,566.291,330.117
2014-06-28,12649.624,421.323,330.077
2014-06-29,12636.186,453.419,330.037
2014-06-30,12621.715,438.939,329.995
2014-07-01,12607.244,425.409,329.952
2014-07-02,12588.669,505.1,329.897
2014-07-03,12561.846,552.752,329.818
2014-07-04,12564.941,319.563,329.827
2014-07-05,12567.004,399.339,329.833
2014-07-06,12565.972,361.563,329.83
2014-07-07,12542.268,496.277,329.76
2014-07-08,12543.298,428.713,329.763
2014-07-09,12538.15,439.854,329.748
2014-07-10,12540.209,388.875,329.754
2014-07-11,12529.915,523.125,329.723
2014-07-12,12536.091,325.077,329.742
2014-07-13,12543.298,387.544,329.763
2014-07-14,12522.708,487.106,329.702
2014-07-15,12512.414,476.119,329.672
2014-07-16,12506.237,393.575,329.653
2014-07-17,12499.037,402.837,329.632
2014-07-18,12492.872,468.452,329.614
2014-07-19,12487.734,440.084,329.599
2014-07-20,12489.789,308.029,329.605
2014-07-21,12480.542,451.431,329.577
2014-07-22,12468.212,498.177,329.541
2014-07-23,12458.965,437.325,329.513
2014-07-24,12453.827,449.634,329.498
2014-07-25,12448.695,441.839,329.483
2014-07-26,12439.469,451.264,329.455
2014-07-27,12443.569,342.376,329.467
2014-07-28,12435.369,445.363,329.443
2014-07-29,12428.194,436.373,329.422
2014-07-30,12418.969,455.374,329.394
2014-07-31,12409.744,521.501,329.367
2014-08-01,12391.309,528.281,329.312
2014-08-02,12397.447,325.543,329.33
2014-08-03,12400.519,302.474,329.339
2014-08-04,12406.669,419.856,329.358
2014-08-05,12406.669,370.871,329.358
2014-08-06,12402.569,413.745,329.346
2014-08-07,12398.471,387.203,329.333
2014-08-08,12389.263,505.87,329.306
2014-08-09,12382.102,446.393,329.285
2014-08-10,12376.986,495.863,329.269
2014-08-11,12379.033,363.177,329.275
2014-08-12,12367.779,368.659,329.242
2014-08-13,12378.01,342.046,329.272
2014-08-14,12381.079,334.466,329.282
2014-08-15,12379.033,392.515,329.275
2014-08-16,12384.148,333.027,329.291
2014-08-17,12388.24,320.39,329.303
2014-08-18,12387.217,382.936,329.3
2014-08-19,12401.544,222.699,329.342
2014-08-20,12414.869,241.441,329.382
2014-08-21,12410.769,376.868,329.37
2014-08-22,12417.944,314.735,329.391
2014-08-23,12430.244,245.681,329.428
2014-08-24,12439.469,271.68,329.455
2014-08-25,12445.62,265.884,329.474
2014-08-26,12449.72,279.29,329.486
2014-08-27,12454.855,277.332,329.501
2014-08-28,12465.129,313.026,329.531
2014-08-29,12476.432,288.769,329.565
2014-08-30,12493.899,159.21,329.617
2014-08-31,12507.266,206.362,329.656
2014-09-01,12518.59,244.354,329.69
2014-09-02,12521.679,295.121,329.699
2014-09-03,12519.62,310.399,329.693
2014-09-04,12515.502,316.25,329.681
2014-09-05,12498.009,465.252,329.629
2014-09-06,12490.817,401.794,329.608
2014-09-07,12481.569,450.293,329.58
2014-09-08,12486.707,225.881,329.595
2014-09-09,12493.899,263.557,329.617
2014-09-10,12496.982,347.087,329.626
2014-09-11,12487.734,398.211,329.599
2014-09-12,12494.927,252.65,329.62
2014-09-13,12501.092,241.211,329.638
2014-09-14,12504.178,268.894,329.647
2014-09-15,12501.092,333.968,329.638
2014-09-16,12486.707,432.248,329.595
2014-09-17,12466.157,487.396,329.535
2014-09-18,12453.827,429.49,329.498
2014-09-19,12453.827,316.263,329.498
2014-09-20,12447.67,359.253,329.48
2014-09-21,12455.882,235.289,329.504
2014-09-22,12453.827,277.276,329.498
2014-09-23,12455.882,288.626,329.504
2014-09-24,12443.569,414.69,329.467
2014-09-25,12441.519,300.747,329.461
2014-09-26,12446.645,245.183,329.477
2014-09-27,12469.239,197.214,329.544
2014-09-28,12488.762,233.076,329.602
2014-09-29,12490.817,312.212,329.608
2014-09-30,12484.652,446.421,329.589
2014-10-01,12490.817,197.97,329.608
2014-10-02,12494.927,233.759,329.62
2014-10-03,12502.119,247.092,329.641
2014-10-04,12508.296,235.978,329.659
2014-10-05,12518.59,172.03,329.69
2014-10-06,12518.59,317.777,329.69
2014-10-07,12508.296,362.506,329.659
2014-10-08,12494.927,343.681,329.62
2014-10-09,12502.119,231.66,329.641
2014-10-10,12508.296,191.133,329.659
2014-10-11,12521.679,128.642,329.699
2014-10-12,12536.091,131.887,329.742
2014-10-13,12533.003,287.902,329.733
2014-10-14,12529.915,321.347,329.723
2014-10-15,12528.885,235.829,329.72
2014-10-16,12536.091,199.882,329.742
2014-10-17,12549.474,117.051,329.781
2014-10-18,12562.877,108.829,329.821
2014-10-19,12580.416,106.491,329.873
2014-10-20,12588.669,155.995,329.897
2014-10-21,12592.796,166.564,329.909
2014-10-22,12603.113,222.355,329.94
2014-10-23,12607.244,204.296,329.952
2014-10-24,12609.311,256.373,329.958
2014-10-25,12611.378,241.101,329.964
2014-10-26,12619.648,215.758,329.989
2014-10-27,12620.681,211.42,329.992
2014-10-28,12619.648,305.097,329.989
2014-10-29,12619.648,198.43,329.989
2014-10-30,12626.883,202.154,330.01
2014-10-31,12635.152,185.005,330.034
2014-11-01,12637.22,199.511,330.04
2014-11-02,12638.253,304.829,330.044
2014-11-03,12636.186,280.573,330.037
2014-11-04,12627.917,327.099,330.013
2014-11-05,12613.446,408.262,329.97
2014-11-06,12585.574,527.113,329.888
2014-11-07,12574.226,384.204,329.855
2014-11-08,12573.194,255.977,329.852
2014-11-09,12579.384,192.546,329.87
2014-11-10,12576.289,249.379,329.861
2014-11-11,12571.131,277.45,329.845
2014-11-12,12582.479,370.616,329.879
2014-11-13,12638.253,344.19,330.044
2014-11-14,12716.97,415.954,330.275
2014-11-15,12783.457,369.816,330.47
2014-11-16,12827.182,377.986,330.598
2014-11-17,12834.479,431.763,330.62
2014-11-18,12826.139,391.043,330.595
2014-11-19,12790.739,390.819,330.492
2014-11-20,12781.377,302.331,330.464
2014-11-21,12784.497,247.236,330.473
2014-11-22,12782.417,225.342,330.467
2014-11-23,12783.457,241.414,330.47
2014-11-24,12800.102,369.931,330.519
2014-11-25,12759.532,351.586,330.4
2014-11-26,12750.189,362.162,330.373
2014-11-27,12753.303,204.34,330.382
2014-11-28,12747.075,334.654,330.364
2014-11-29,12733.58,346.62,330.324
2014-11-30,12715.932,437.928,330.272
2014-12-01,12724.237,183.597,330.297
2014-12-02,12727.351,195.886,330.306
2014-12-03,12736.694,237.486,330.333
2014-12-04,12756.418,189.692,330.391
2014-12-05,12769.933,245.783,330.431
2014-12-06,12789.699,230.02,330.489
2014-12-07,12801.143,283.356,330.522
2014-12-08,12814.671,224.598,330.562
2014-12-09,12829.267,226.264,330.604
2014-12-10,12846.99,234.619,330.656
2014-12-11,12864.713,215.571,330.708
2014-12-12,12883.514,228.88,330.763
2014-12-13,12898.137,230.206,330.806
2014-12-14,12914.849,235.547,330.854
2014-12-15,12928.455,241.77,330.894
2014-12-16,12949.395,176.059,330.955
2014-12-17,12969.287,157.282,331.013
2014-12-18,12994.462,161.895,331.086
2014-12-19,13014.392,201.025,331.144
2014-12-20,13032.247,197.847,331.196
2014-12-21,13048.014,225.668,331.241
2014-12-22,13065.884,247.009,331.293
2014-12-23,13072.191,276.873,331.312
2014-12-24,13081.667,194.63,331.339
2014-12-25,13098.521,196.874,331.388
2014-12-26,13105.895,319.679,331.409
2014-12-27,13115.376,286.427,331.436
2014-12-28,13128.018,247.666,331.473
2014-12-29,13139.627,267.096,331.507
2014-12-30,13156.513,204.492,331.555
2014-12-31,13157.569,276.204,331.558
2015-01-01,13169.178,291.38,331.592
2015-01-02,13169.178,399.024,331.592
2015-01-03,13175.51,319.976,331.61
2015-01-04,13181.847,309.94,331.628
2015-01-05,13188.192,352.799,331.647
2015-01-06,13197.71,266.771,331.674
2015-01-07,13204.056,305.512,331.693
2015-01-08,13210.401,336.008,331.711
2015-01-09,13216.747,338.82,331.729
2015-01-10,13230.495,283.587,331.769
2015-01-11,13248.508,266.651,331.821
2015-01-12,13253.807,359.122,331.836
2015-01-13,13253.807,366.476,331.836
2015-01-14,13250.627,426.948,331.827
2015-01-15,13252.747,406.436,331.833
2015-01-16,13264.405,261.515,331.866
2015-01-17,13278.182,279.473,331.906
2015-01-18,13297.283,240.728,331.961
2015-01-19,13304.717,357.705,331.982
2015-01-20,13303.655,371.387,331.979
2015-01-21,13314.276,276.977,332.009
2015-01-22,13304.717,490.351,331.982
2015-01-23,13301.531,454.643,331.973
2015-01-24,13302.593,417.685,331.976
2015-01-25,13300.469,431.417,331.97
2015-01-26,13284.541,557.137,331.924
2015-01-27,13272.883,588.887,331.891
2015-01-28,13254.867,579.578,331.839
2015-01-29,13242.149,578.18,331.802
2015-01-30,13232.611,547.398,331.775
2015-01-31,13233.67,422.423,331.778
2015-02-01,13246.388,256.247,331.814
2015-02-02,13251.687,338.904,331.83
2015-02-03,13259.106,311.984,331.851
2015-02-04,13256.986,343.935,331.845
2015-02-05,13256.986,332.957,331.845
2015-02-06,13260.166,316.137,331.854
2015-02-07,13263.345,301.586,331.863
2015-02-08,13269.704,303.273,331.881
2015-02-09,13272.883,268.125,331.891
2015-02-10,13271.823,286.729,331.888
2015-02-11,13268.644,353.971,331.878
2015-02-12,13262.285,383.594,331.86
2015-02-13,13265.465,291.365,331.869
2015-02-14,13275.003,223.797,331.897
2015-02-15,13285.601,200.956,331.927
2015-02-16,13291.973,253.647,331.945
2015-02-17,13288.787,301.076,331.936
2015-02-18,13283.481,323.764,331.921
2015-02-19,13283.481,332.184,331.921
2015-02-20,13279.242,335.311,331.909
2015-02-21,13279.242,344.663,331.909
2015-02-22,13277.122,340.893,331.903
2015-02-23,13279.242,322.778,331.909
2015-02-24,13282.422,263.986,331.918
2015-02-25,13281.362,304.743,331.915
2015-02-26,13281.362,337.836,331.915
2015-02-27,13278.182,308.817,331.906
2015-02-28,13283.481,285.002,331.921
2015-03-01,13282.422,354.537,331.918
2015-03-02,13276.063,442.854,331.9
2015-03-03,13269.704,456.357,331.881
2015-03-04,13249.568,531.196,331.824
2015-03-05,13227.323,579.266,331.76
2015-03-06,13198.768,632.147,331.677
2015-03-07,13180.789,522.503,331.625
2015-03-08,13177.621,419.013,331.616
2015-03-09,13171.288,433.805,331.598
2015-03-10,13164.956,403.037,331.58
2015-03-11,13150.181,464.883,331.537
2015-03-12,13138.572,455.89,331.504
2015-03-13,13128.018,445.013,331.473
2015-03-14,13117.483,444.57,331.443
2015-03-15,13104.842,478.719,331.406
2015-03-16,13092.201,485.61,331.369
2015-03-17,13078.507,452.517,331.33
2015-03-18,13060.628,490.284,331.278
2015-03-19,13037.502,548.17,331.211
2015-03-20,13003.903,672.09,331.113
2015-03-21,12989.217,448.95,331.071
2015-03-22,12977.679,436.688,331.037
2015-03-23,12963.005,471.018,330.995
2015-03-24,12945.207,456.831,330.943
2015-03-25,12923.22,530.653,330.879
2015-03-26,12906.493,518.643,330.83
2015-03-27,12887.692,512.453,330.775
2015-03-28,12879.336,410.373,330.751
2015-03-29,12876.202,361.919,330.742
2015-03-30,12864.713,493.936,330.708
2015-03-31,12851.16,407.704,330.668
2015-04-01,12842.82,394.873,330.644
2015-04-02,12832.394,479.675,330.614
2015-04-03,12799.062,654.428,330.516
2015-04-04,12778.256,534.04,330.455
2015-04-05,12766.812,408.062,330.421
2015-04-06,12753.303,476.317,330.382
2015-04-07,12724.237,462.511,330.297
2015-04-08,12705.557,549.972,330.242
2015-04-09,12682.762,546.3,330.175
2015-04-10,12654.792,630.317,330.092
2015-04-11,12641.354,426.291,330.053
2015-04-12,12618.614,523.258,329.986
2015-04-13,12592.796,584.945,329.909
2015-04-14,12577.321,520.414,329.864
2015-04-15,12544.327,585.132,329.766
2015-04-16,12517.561,605.919,329.687
2015-04-17,12501.092,456.631,329.638
2015-04-18,12491.844,401.336,329.611
2015-04-19,12480.542,414.114,329.577
2015-04-20,12461.02,527.425,329.519
2015-04-21,12441.519,475.663,329.461
2015-04-22,12421.019,502.643,329.4
2015-04-23,12400.519,568.356,329.339
2015-04-24,12376.986,499.476,329.269
2015-04-25,12374.94,365.86,329.263
2015-04-26,12361.641,380.494,329.224
2015-04-27,12335.07,598.408,329.144
2015-04-28,12312.612,521.433,329.077
2015-04-29,12288.13,684.639,329.004
2015-04-30,12249.414,741.421,328.888
2015-05-01,12232.124,496.048,328.837
2015-05-02,12232.124,281.684,328.837
2015-05-03,12241.274,225.864,328.864
2015-05-04,12229.074,399.313,328.827
2015-05-05,12225.008,426.719,328.815
2015-05-06,12200.608,517.521,328.742
2015-05-07,12177.261,509.767,328.672
2015-05-08,12154.939,607.132,328.605
2015-05-09,12145.807,411.276,328.577
2015-05-10,12139.73,412.029,328.559
2015-05-11,12124.543,522.628,328.513
2015-05-12,12105.307,475.001,328.456
2015-05-13,12074.971,595.983,328.364
2015-05-14,12048.699,585.773,328.285
2015-05-15,12034.573,446.595,328.242
2015-05-16,12039.614,293.737,328.257
2015-05-17,12041.63,316.438,328.264
2015-05-18,12034.573,377.752,328.242
2015-05-19,12036.589,334.823,328.248
2015-05-20,12025.498,396.984,328.215
2015-05-21,12021.465,393.402,328.203
2015-05-22,12013.4,387.005,328.178
2015-05-23,12018.441,313.84,328.193
2015-05-24,12023.986,266.984,328.21
2015-05-25,12028.523,251.551,328.224
2015-05-26,12020.457,404.164,328.199
2015-05-27,12012.391,361.508,328.175
2015-05-28,12003.317,386.503,328.148
2015-05-29,11998.276,388.689,328.132
2015-05-30,11996.259,355.685,328.126
2015-05-31,12000.292,290.782,328.139
2015-06-01,11987.197,416.427,328.099
2015-06-02,11979.147,394.598,328.075
2015-06-03,11982.166,368.714,328.084
2015-06-04,11965.059,516.862,328.032
2015-06-05,11945.94,556.407,327.974
2015-06-06,11944.933,387.933,327.971
2015-06-07,11938.905,448.034,327.953
2015-06-08,11927.86,483.743,327.919
2015-06-09,11920.832,411.79,327.898
2015-06-10,11917.82,391.088,327.889
2015-06-11,11908.783,477.962,327.861
2015-06-12,11892.718,542.031,327.812
2015-06-13,11888.711,463.126,327.8
2015-06-14,11890.715,337.666,327.806
2015-06-15,11883.702,391.844,327.785
2015-06-16,11872.682,426.236,327.751
2015-06-17,11855.651,552.281,327.7
2015-06-18,11850.641,447.44,327.684
2015-06-19,11849.64,385.308,327.681
2015-06-20,11851.643,339.576,327.687
2015-06-21,11855.651,333.112,327.7
2015-06-22,11849.64,395.457,327.681
2015-06-23,11841.627,450.949,327.657
2015-06-24,11833.626,427.275,327.633
2015-06-25,11823.625,500.058,327.602
2015-06-26,11813.624,462.254,327.572
2015-06-27,11826.625,240.66,327.611
2015-06-28,11836.626,229.437,327.642
2015-06-29,11850.641,287.211,327.684
2015-06-30,11850.641,329.583,327.684
2015-07-01,11835.626,492.205,327.639
2015-07-02,11823.625,543.559,327.602
2015-07-03,11824.625,449.908,327.605
2015-07-04,11855.651,170.904,327.7
2015-07-05,11875.687,208.208,327.761
2015-07-06,11881.698,339.206,327.779
2015-07-07,11891.716,375.268,327.809
2015-07-08,11903.763,369.742,327.846
2015-07-09,11906.775,408.517,327.855
2015-07-10,11908.783,436.158,327.861
2015-07-11,11916.816,379.322,327.886
2015-07-12,11921.836,409.089,327.901
2015-07-13,11932.88,334.423,327.934
2015-07-14,11938.905,351.041,327.953
2015-07-15,11949.965,353.667,327.986
2015-07-16,11945.94,512.552,327.974
2015-07-17,11936.897,523.816,327.947
2015-07-18,11943.927,428.336,327.968
2015-07-19,11943.927,521.118,327.968
2015-07-20,11957.009,437.8,328.007
2015-07-21,11969.084,345.558,328.044
2015-07-22,11984.178,326.331,328.09
2015-07-23,11992.228,361.761,328.114
2015-07-24,12011.383,256.503,328.172
2015-07-25,12036.589,202.955,328.248
2015-07-26,12062.846,172.872,328.328
2015-07-27,12085.076,183.911,328.395
2015-07-28,12106.32,227.251,328.459
2015-07-29,12117.456,293.678,328.492
2015-07-30,12127.581,314.293,328.523
2015-07-31,12160.012,225.052,328.62
2015-08-01,12177.261,265.44,328.672
2015-08-02,12200.608,221.566,328.742
2015-08-03,12202.642,324.175,328.748
2015-08-04,12199.592,341.692,328.739
2015-08-05,12187.408,502.928,328.702
2015-08-06,12178.276,597.494,328.675
2015-08-07,12160.012,491.122,328.62
2015-08-08,12164.071,322.705,328.632
2015-08-09,12174.217,308.785,328.663
2015-08-10,12173.203,390.211,328.66
2015-08-11,12171.173,382.254,328.654
2015-08-12,12165.085,465.269,328.635
2015-08-13,12162.042,408.991,328.626
2015-08-14,12161.027,443.012,328.623
2015-08-15,12166.1,343.262,328.638
2015-08-16,12169.144,344.82,328.648
2015-08-17,12170.159,366.09,328.651
2015-08-18,12169.144,334.74,328.648
2015-08-19,12172.188,266.141,328.657
2015-08-20,12172.188,345.961,328.657
2015-08-21,12162.042,448.922,328.626
2015-08-22,12161.027,409.889,328.623
2015-08-23,12153.924,445.311,328.602
2015-08-24,12151.895,362.634,328.596
2015-08-25,12153.924,383.477,328.602
2015-08-26,12152.91,347.66,328.599
2015-08-27,12149.866,426.993,328.59
2015-08-28,12149.866,356.685,328.59
2015-08-29,12157.983,280.945,328.614
2015-08-30,12169.144,242.3,328.648
2015-08-31,12176.247,289.125,328.669
2015-09-01,12163.056,471.793,328.629
2015-09-02,12160.012,383.251,328.62
2015-09-03,12153.924,386.336,328.602
2015-09-04,12151.895,366.803,328.596
2015-09-05,12156.968,250.462,328.611
2015-09-06,12168.129,229.98,328.645
2015-09-07,12168.129,350.772,328.645
2015-09-08,12155.954,476.291,328.608
2015-09-09,12141.755,479.703,328.565
2015-09-10,12132.643,477.346,328.538
2015-09-11,12126.568,407.918,328.52
2015-09-12,12131.631,301.458,328.535
2015-09-13,12141.755,218.258,328.565
2015-09-14,12137.705,352.854,328.553
2015-09-15,12136.693,318.52,328.55
2015-09-16,12142.767,249.506,328.568
2015-09-17,12150.88,273.595,328.593
2015-09-18,12153.924,338.409,328.602
2015-09-19,12158.998,279.759,328.617
2015-09-20,12157.983,356.598,328.614
2015-09-21,12153.924,365.176,328.602
2015-09-22,12156.968,320.761,328.611
2015-09-23,12151.895,387.648,328.596
2015-09-24,12142.767,464.41,328.568
2015-09-25,12129.606,443.222,328.529
2015-09-26,12142.767,231.919,328.568
2015-09-27,12150.88,230.906,328.593
2015-09-28,12155.954,273.221,328.608
2015-09-29,12158.998,293.853,328.617
2015-09-30,12154.939,339.79,328.605
2015-10-01,12157.983,279.974,328.614
2015-10-02,12173.203,195.515,328.66
2015-10-03,12177.261,273.875,328.672
2015-10-04,12183.349,214.775,328.69
2015-10-05,12196.542,268.382,328.73
2015-10-06,12194.511,286.87,328.724
2015-10-07,12190.452,290.566,328.712
2015-10-08,12181.32,448.938,328.684
2015-10-09,12178.276,351.259,328.675
2015-10-10,12182.335,270.565,328.687
2015-10-11,12190.452,189.804,328.712
2015-10-12,12186.393,352.128,328.699
2015-10-13,12174.217,376.97,328.663
2015-10-14,12169.144,323.534,328.648
